base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
stations,{'all': 76},200,"{'lon': -134.97, 'lat': -23.12}",1552291560.0,4030556.0,"{'temp': 78.67, 'pressure': 1012.33, 'humidity': 100, 'temp_min': 78.67, 'temp_max': 78.67, 'sea_level': 1012.33, 'grnd_level': 1012.15}",,Rikitea,,,"{'message': 0.0038, 'country': 'PF', 'sunrise': 1552316408, 'sunset': 1552360740}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 23.09, 'deg': 146.501}"
stations,{'all': 40},200,"{'lon': -159.32, 'lat': 22.08}",1552291398.0,5848280.0,"{'temp': 72.45, 'pressure': 1023, 'humidity': 73, 'temp_min': 71.01, 'temp_max': 73.4}",,Kapaa,,,"{'type': 1, 'id': 7873, 'message': 0.0083, 'country': 'US', 'sunrise': 1552322957, 'sunset': 1552365917}",16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 19.46, 'deg': 70}"
stations,{'all': 0},200,"{'lon': 115.35, 'lat': -33.64}",1552291504.0,2075265.0,"{'temp': 79.68, 'pressure': 1012, 'humidity': 31, 'temp_min': 79, 'temp_max': 80.01}",,Busselton,,,"{'type': 3, 'id': 2011706, 'message': 0.0034, 'country': 'AU', 'sunrise': 1552256072, 'sunset': 1552300933}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 11.34, 'deg': 163.501}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 12},200,"{'lon': 73.08, 'lat': -0.6}",1552291560.0,1282256.0,"{'temp': 82.72, 'pressure': 1011.21, 'humidity': 100, 'temp_min': 82.72, 'temp_max': 82.72, 'sea_level': 1011.21, 'grnd_level': 1011.19}",,Hithadhoo,,,"{'message': 0.0028, 'country': 'MV', 'sunrise': 1552266856, 'sunset': 1552310467}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 9.22, 'deg': 346.001}"
stations,{'all': 90},200,"{'lon': -73.38, 'lat': 46.3}",1552291080.0,6138260.0,"{'temp': 33.24, 'pressure': 1004, 'humidity': 86, 'temp_min': 33.01, 'temp_max': 33.8}",,Saint-Gabriel,,{'1h': 0.51},"{'type': 1, 'id': 919, 'message': 0.0045, 'country': 'CA', 'sunrise': 1552302825, 'sunset': 1552344835}",14484.0,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 17.22, 'deg': 220}"
stations,{'all': 48},200,"{'lon': 168.86, 'lat': -46.19}",1552291208.0,6201424.0,"{'temp': 66, 'pressure': 1009, 'humidity': 72, 'temp_min': 66, 'temp_max': 66}",,Mataura,,,"{'type': 3, 'id': 2008959, 'message': 0.0029, 'country': 'NZ', 'sunrise': 1552242822, 'sunset': 1552288483}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 2.73, 'deg': 319.501}"
stations,{'all': 90},200,"{'lon': -89.26, 'lat': 48.41}",1552291526.0,6166142.0,"{'temp': 23.59, 'pressure': 1015, 'humidity': 73, 'temp_min': 23, 'temp_max': 24.8}",,Thunder Bay,,,"{'type': 1, 'id': 906, 'message': 0.0044, 'country': 'CA', 'sunrise': 1552306688, 'sunset': 1552348596}",24140.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 12.75, 'deg': 290, 'gust': 9.8}"
stations,{'all': 0},200,"{'lon': 134.54, 'lat': 60.42}",1552291561.0,2013918.0,"{'temp': 9.1, 'pressure': 1016.65, 'humidity': 75, 'temp_min': 9.1, 'temp_max': 9.1, 'sea_level': 1016.65, 'grnd_level': 984.79}",,Ust-Maya,,,"{'message': 0.0032, 'country': 'RU', 'sunrise': 1552253532, 'sunset': 1552294375}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 2.73, 'deg': 99.5009}"
stations,{'all': 80},200,"{'lon': -75.64, 'lat': 3.53}",1552291561.0,3670764.0,"{'temp': 58.15, 'pressure': 1010.17, 'humidity': 98, 'temp_min': 58.15, 'temp_max': 58.15, 'sea_level': 1010.17, 'grnd_level': 833.27}",,Rioblanco,{'3h': 0.86},,"{'message': 0.0038, 'country': 'CO', 'sunrise': 1552302605, 'sunset': 1552346094}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 1.83, 'deg': 219.001}"
,,404,,,,,city not found,,,,,,,
stations,{'all': 32},200,"{'lon': -57.35, 'lat': -34.31}",1552291284.0,3440747.0,"{'temp': 55, 'pressure': 1020, 'humidity': 90, 'temp_min': 55, 'temp_max': 55}",,Rosario,,,"{'type': 3, 'id': 2003248, 'message': 0.0045, 'country': 'UY', 'sunrise': 1552297526, 'sunset': 1552342359}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 7.76, 'deg': 55.0009}"
stations,{'all': 100},200,"{'lon': 150.8, 'lat': -2.57}",1552291562.0,2094342.0,"{'temp': 80.43, 'pressure': 1009.61, 'humidity': 100, 'temp_min': 80.43, 'temp_max': 80.43, 'sea_level': 1009.61, 'grnd_level': 1008.39}",,Kavieng,{'3h': 0.15375},,"{'message': 0.0053, 'country': 'PG', 'sunrise': 1552248174, 'sunset': 1552291848}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 13.02, 'deg': 288.001}"
stations,{'all': 20},200,"{'lon': -70.91, 'lat': -53.16}",1552291389.0,3874787.0,"{'temp': 46.22, 'pressure': 1008, 'humidity': 70, 'temp_min': 46, 'temp_max': 46.4}",,Punta Arenas,,,"{'type': 1, 'id': 8487, 'message': 0.0037, 'country': 'CL', 'sunrise': 1552300122, 'sunset': 1552346236}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 19.46, 'deg': 240}"
stations,{'all': 68},200,"{'lon': -159.78, 'lat': -21.21}",1552289400.0,4035715.0,"{'temp': 78.8, 'pressure': 1012, 'humidity': 88, 'temp_min': 78.8, 'temp_max': 78.8}",,Avarua,,,"{'type': 1, 'id': 7271, 'message': 0.005, 'country': 'CK', 'sunrise': 1552322400, 'sunset': 1552366657}",10000.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 12.75, 'deg': 90}"
stations,{'all': 0},200,"{'lon': 112.52, 'lat': 29.72}",1552291563.0,1788268.0,"{'temp': 67.87, 'pressure': 1016.85, 'humidity': 53, 'temp_min': 67.87, 'temp_max': 67.87, 'sea_level': 1016.85, 'grnd_level': 1013.43}",,Dongsheng,,,"{'message': 0.0036, 'country': 'CN', 'sunrise': 1552257893, 'sunset': 1552300530}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.64, 'deg': 46.0009}"
